id,phase,title,filename,reasoning,depends_on
000,00 Governance and bootstrap,Repository reconnaissance and baseline snapshot,prompts/000_repository_reconnaissance_and_baseline_snapshot.md,medium,
001,00 Governance and bootstrap,Initialize Rails application and pin a compatible baseline,prompts/001_initialize_rails_application_and_pin_a_compatible_baseline.md,high,000
002,00 Governance and bootstrap,Establish repository conventions and module boundaries,prompts/002_establish_repository_conventions_and_module_boundaries.md,high,001
003,00 Governance and bootstrap,"Define environment, configuration and secrets contract",prompts/003_define_environment_configuration_and_secrets_contract.md,high,002
004,00 Governance and bootstrap,Integrate and verify the prompt execution tracker,prompts/004_integrate_and_verify_the_prompt_execution_tracker.md,medium,003
005,00 Governance and bootstrap,Finalize ADR index and architecture guardrails,prompts/005_finalize_adr_index_and_architecture_guardrails.md,medium,004
006,01 Rails and operational foundation,Configure PostgreSQL databases and required extensions,prompts/006_configure_postgresql_databases_and_required_extensions.md,high,005
007,01 Rails and operational foundation,"Configure Solid Queue, Solid Cache and Solid Cable topology",prompts/007_configure_solid_queue_solid_cache_and_solid_cable_topology.md,high,006
008,01 Rails and operational foundation,Build the Hotwire and Tailwind application shell,prompts/008_build_the_hotwire_and_tailwind_application_shell.md,medium,007
009,01 Rails and operational foundation,"Add linting, static analysis and dependency security checks",prompts/009_add_linting_static_analysis_and_dependency_security_checks.md,medium,008
010,01 Rails and operational foundation,Establish the Minitest and system-test foundation,prompts/010_establish_the_minitest_and_system_test_foundation.md,high,009
011,01 Rails and operational foundation,Create GitHub Actions continuous integration,prompts/011_create_github_actions_continuous_integration.md,high,010
012,01 Rails and operational foundation,Implement structured events and error taxonomy,prompts/012_implement_structured_events_and_error_taxonomy.md,high,011
013,01 Rails and operational foundation,"Implement health, readiness and version endpoints",prompts/013_implement_health_readiness_and_version_endpoints.md,medium,012
014,02 Identity and sessions,Create native authentication and session foundations,prompts/014_create_native_authentication_and_session_foundations.md,high,013
015,02 Identity and sessions,"Model users, identities, sessions and OAuth transactions",prompts/015_model_users_identities_sessions_and_oauth_transactions.md,high,014
